<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
PLZL;D;230323;000000;9,533;9,590;9,431;9,488;259,090
PLZL;D;230324;000000;9,475;9,539.5;9,440;9,475;121,700
PLZL;D;230327;000000;9,466;9,495;9,341;9,408.5;195,824
PLZL;D;230328;000000;9,401;9,495;9,311;9,449;206,092
PLZL;D;230329;000000;9,415;9,468.5;9,406;9,427.5;89,742
PLZL;D;230330;000000;9,445;9,485;9,401;9,454;86,537
PLZL;D;230331;000000;9,478;9,500;9,345;9,441.5;141,833
PLZL;D;230403;000000;9,421;9,675;9,375;9,600;239,413
PLZL;D;230404;000000;9,600;9,750;9,550;9,725;249,692
PLZL;D;230405;000000;9,750;9,789;9,626;9,699;194,912
PLZL;D;230406;000000;9,678;9,710;9,572;9,589.5;124,232
PLZL;D;230407;000000;9,608;9,645;9,516.5;9,600;100,007
PLZL;D;230410;000000;9,584;9,686.5;9,555.5;9,666.5;120,414
PLZL;D;230411;000000;9,685.5;9,909.5;9,557.5;9,619;395,352
PLZL;D;230412;000000;9,652.5;9,767.5;9,567.5;9,673;141,693
PLZL;D;230413;000000;9,696.5;9,888.5;9,661;9,883;246,608
PLZL;D;230414;000000;9,893;9,976;9,725;9,835;285,178
PLZL;D;230417;000000;9,878.5;10,369.5;9,849.5;10,354;614,133
PLZL;D;230418;000000;10,368.5;10,488;10,245;10,421.5;309,316
PLZL;D;230419;000000;10,412.5;10,412.5;10,125;10,197.5;270,268
PLZL;D;230420;000000;10,205;10,470;10,101;10,411;240,053
PLZL;D;230421;000000;10,377.5;10,437.5;10,250;10,382.5;119,041
PLZL;D;230424;000000;10,381.5;10,595;10,370;10,540;217,978
PLZL;D;230425;000000;10,551;10,600;10,429;10,543;161,348
PLZL;D;230426;000000;10,554.5;10,592;10,500;10,543;118,154
PLZL;D;230427;000000;10,579.5;10,645;10,506;10,586;150,994
PLZL;D;230428;000000;10,588;10,608;10,001;10,404;227,412
PLZL;D;230502;000000;10,390;10,490;10,280;10,460;165,954
PLZL;D;230503;000000;10,483;10,527;10,213.5;10,319.5;200,792
PLZL;D;230504;000000;10,345;10,600;10,300;10,575;264,720
PLZL;D;230505;000000;10,599;10,620;10,351.5;10,474;162,912
PLZL;D;230508;000000;10,460;10,550;10,443;10,507;47,620
PLZL;D;230510;000000;10,507;10,750;10,500;10,742.5;235,826
PLZL;D;230511;000000;10,776;10,793;10,252;10,439.5;527,231
PLZL;D;230512;000000;10,449.5;10,522;10,341;10,454;129,820
PLZL;D;230515;000000;10,482;10,566;10,462.5;10,510.5;110,286
PLZL;D;230516;000000;10,525.5;10,550;10,452;10,512.5;91,151
PLZL;D;230517;000000;10,499;10,510;10,390;10,448;67,530
PLZL;D;230518;000000;10,447;10,447.5;10,280.5;10,337.5;107,287
PLZL;D;230519;000000;10,237;10,278;9,850;10,175;403,680
PLZL;D;230522;000000;10,206;10,265;9,930;9,954;137,500
PLZL;D;230523;000000;9,950;10,200;9,840;10,053;245,091
PLZL;D;230524;000000;10,110.5;10,197.5;10,050.5;10,128;107,119
PLZL;D;230525;000000;10,150;10,168.5;9,990;10,054;75,881
PLZL;D;230526;000000;10,054;10,225;10,050;10,201.5;81,518
PLZL;D;230529;000000;10,249.5;10,996;10,220;10,773;437,916
PLZL;D;230530;000000;10,648;10,793.5;10,402;10,512;242,032
PLZL;D;230531;000000;10,563.5;10,777.5;10,370.5;10,594;199,041
PLZL;D;230601;000000;10,617;10,705;10,539;10,622.5;94,543
PLZL;D;230602;000000;10,655;10,690;10,501;10,550;146,645
PLZL;D;230605;000000;10,599.5;10,599.5;9,950;10,182;336,090
PLZL;D;230606;000000;10,185;10,351;9,935;10,287.5;893,973
PLZL;D;230607;000000;10,262.5;10,432;10,200.5;10,315;213,293
PLZL;D;230608;000000;10,339.5;10,369;10,208.5;10,337;96,762
PLZL;D;230609;000000;10,345;10,367.5;10,261;10,313;58,567
PLZL;D;230613;000000;10,325;10,400;10,250;10,358;157,481
PLZL;D;230614;000000;10,372;10,470;10,300;10,395;111,746
PLZL;D;230615;000000;10,365;10,485;10,320;10,450;117,762
PLZL;D;230616;000000;10,460;10,711;10,420.5;10,671;239,701
PLZL;D;230619;000000;10,672;10,754;10,557.5;10,649;153,195
PLZL;D;230620;000000;10,648.5;11,056;10,603.5;10,980;370,095
PLZL;D;230621;000000;10,966;11,380;10,867.5;11,273;363,466
PLZL;D;230622;000000;11,270;11,480;11,109;11,151.5;454,938
PLZL;D;230623;000000;11,140;11,175;10,726;10,845.5;314,799
PLZL;D;230626;000000;11,120;11,120;10,474;10,795.5;321,516
PLZL;D;230627;000000;10,805;10,976;10,620;10,876;175,503
PLZL;D;230628;000000;10,876;10,950;10,690.5;10,861;101,860
PLZL;D;230629;000000;10,866;10,950;10,740;10,798;84,479
PLZL;D;230630;000000;10,809;10,887.5;10,720;10,804;80,470
PLZL;D;230703;000000;10,827;10,899;10,613.5;10,717;150,827
PLZL;D;230704;000000;10,742;10,785;10,660;10,720;90,735
PLZL;D;230705;000000;10,742;10,932.5;10,705;10,847;202,468
PLZL;D;230706;000000;10,876;10,946.5;10,725.5;10,780;131,321
PLZL;D;230707;000000;10,789;10,831;10,650;10,712.5;121,617
PLZL;D;230710;000000;10,749.5;12,308.5;10,730.5;10,959.5;3,009,093
PLZL;D;230711;000000;11,022;11,045;10,600;10,756;746,132
PLZL;D;230712;000000;10,756;10,848.5;10,651;10,774;238,258
PLZL;D;230713;000000;10,796.5;10,827;10,685.5;10,728;165,709
PLZL;D;230714;000000;10,727;10,864.5;10,654;10,823;193,489
PLZL;D;230717;000000;10,790;11,187.5;10,750;11,152;304,651
PLZL;D;230718;000000;11,173.5;11,468;11,161;11,411;482,091
PLZL;D;230719;000000;11,440;11,530.5;11,253.5;11,438;335,152
PLZL;D;230720;000000;11,440.5;11,738;11,355;11,521.5;436,315
PLZL;D;230721;000000;11,537;11,680;11,482;11,546;165,358
PLZL;D;230724;000000;11,545;11,642.5;11,466;11,524.5;128,255
PLZL;D;230725;000000;11,530;11,680;11,482.5;11,643;148,699
PLZL;D;230726;000000;11,658;11,793.5;11,475;11,615;286,674
PLZL;D;230727;000000;11,625;11,747;11,581;11,659.5;122,675
PLZL;D;230728;000000;11,648;11,725;11,595.5;11,685;93,368
PLZL;D;230731;000000;11,701.5;11,925;11,691.5;11,892;156,646
PLZL;D;230801;000000;11,919.5;11,922.5;11,730;11,785;102,864
PLZL;D;230802;000000;11,800;11,885.5;11,737;11,799.5;74,189
PLZL;D;230803;000000;11,816.5;11,850;11,720;11,820.5;89,119
PLZL;D;230804;000000;11,820;11,869.5;11,500;11,622.5;155,786
PLZL;D;230807;000000;11,642;11,836;11,600;11,639.5;135,016
PLZL;D;230808;000000;11,645;11,669.5;11,307.5;11,504.5;117,940
PLZL;D;230809;000000;11,510;11,567.5;11,420;11,505.5;73,038
PLZL;D;230810;000000;11,508;11,720;11,480;11,697.5;116,959
PLZL;D;230811;000000;11,696;11,777.5;11,658;11,678;81,997
PLZL;D;230814;000000;11,722.5;11,825;11,452;11,471;159,317
PLZL;D;230815;000000;11,472;11,653;11,308;11,521.5;107,147
PLZL;D;230816;000000;11,529;11,600;11,150;11,268.5;131,234
PLZL;D;230817;000000;11,318;11,382;11,156;11,317;96,906
PLZL;D;230818;000000;11,334;11,620;11,251;11,588;134,501
PLZL;D;230821;000000;11,605;11,690.5;11,402.5;11,491.5;115,262
PLZL;D;230822;000000;11,496;11,509.5;11,382.5;11,420;63,345
PLZL;D;230823;000000;11,435;11,584.5;11,313.5;11,404.5;137,473
PLZL;D;230824;000000;11,448.5;11,510;11,357.5;11,468;58,232
PLZL;D;230825;000000;11,435;11,487;11,404.5;11,455;42,770
PLZL;D;230828;000000;11,471;11,800;11,470;11,748;161,336
PLZL;D;230829;000000;11,784;11,845;11,555;11,674;251,548
PLZL;D;230830;000000;11,700;11,719.5;11,581;11,670.5;63,457
PLZL;D;230831;000000;11,675;11,750;11,632;11,671;48,843
PLZL;D;230901;000000;11,676;11,991;11,648;11,824;160,309
PLZL;D;230904;000000;11,897.5;12,142.5;11,861;12,073;150,744
PLZL;D;230905;000000;12,085;12,150;11,953;12,037;141,833
PLZL;D;230906;000000;12,034;12,034;11,831;11,857;89,196
PLZL;D;230907;000000;11,840;11,890.5;11,515.5;11,653.5;145,357
PLZL;D;230908;000000;11,653;11,716;11,277.5;11,389;120,556
PLZL;D;230911;000000;11,388;11,620;11,325;11,395.5;111,509
PLZL;D;230912;000000;11,409.5;11,530.5;11,336.5;11,471;96,745
PLZL;D;230913;000000;11,485.5;11,583;11,439;11,488.5;59,013
PLZL;D;230914;000000;11,487;11,500;11,201;11,456.5;99,586
PLZL;D;230915;000000;11,455;11,658.5;11,420;11,593.5;78,964
PLZL;D;230918;000000;11,645;11,690;11,476;11,642;65,958
