<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
SELG;D;230728;000000;73.55;75;71.12;73.13;13,298,150
SELG;D;230731;000000;74.04;74.47;72.8;73.1;4,347,380
SELG;D;230801;000000;73.45;77.38;72;74.3;24,476,260
SELG;D;230802;000000;75;75.89;74;74.48;5,142,680
SELG;D;230803;000000;74.5;76.43;73.98;76.01;7,447,600
SELG;D;230804;000000;76.56;79.58;68.76;74.35;13,273,310
SELG;D;230807;000000;74.85;77.5;74.6;75.88;4,912,900
SELG;D;230808;000000;76.01;77;72.08;75.1;3,391,410
SELG;D;230809;000000;75.21;78.79;74.97;76.9;10,792,940
SELG;D;230810;000000;77.45;81;77.1;79.11;17,304,840
SELG;D;230811;000000;80;80.29;77.8;78.48;5,244,390
SELG;D;230814;000000;79.01;80;75;77.8;6,875,580
SELG;D;230815;000000;76.21;78.88;73;76.57;4,342,780
SELG;D;230816;000000;76.44;78.57;73.16;74.89;5,776,230
SELG;D;230817;000000;75.13;77;73.78;76.06;3,290,480
SELG;D;230818;000000;76.8;77.7;75.35;77.7;2,257,050
SELG;D;230821;000000;78.07;79.3;77.56;77.68;3,116,980
SELG;D;230822;000000;77.37;81.99;76.78;81.55;20,755,250
SELG;D;230823;000000;82.5;87;82.01;87;33,381,100
SELG;D;230824;000000;86.01;88;84.32;85.51;16,937,490
SELG;D;230825;000000;86.49;86.5;83.4;83.97;6,882,470
SELG;D;230828;000000;84.37;89.98;84.28;89.5;18,556,140
SELG;D;230829;000000;90;90.62;86.19;87.01;13,447,580
SELG;D;230830;000000;87.5;88.86;84.9;87.3;10,408,960
SELG;D;230831;000000;87.97;88.46;85.55;85.99;4,499,790
SELG;D;230901;000000;86.1;87.94;86;86;6,126,680
SELG;D;230904;000000;86.48;87.87;86.1;87.15;4,309,690
SELG;D;230905;000000;87.03;92.35;87.03;91.2;26,986,600
SELG;D;230906;000000;91.51;91.88;89;89.4;7,627,450
SELG;D;230907;000000;89.96;90;80.01;85.61;11,340,020
SELG;D;230908;000000;85.6;86.41;82.5;82.9;5,426,400
SELG;D;230911;000000;83.67;85.5;80.71;81.15;5,661,210
SELG;D;230912;000000;81.34;83.8;81.2;82.35;4,401,280
SELG;D;230913;000000;82.31;83.59;80.12;82;3,582,960
SELG;D;230914;000000;82.08;82.09;65;78.66;27,743,520
SELG;D;230915;000000;78.3;81.45;75.5;79.61;9,706,180
SELG;D;230918;000000;81;82.79;78.01;78.57;7,756,570
SELG;D;230919;000000;79;79.07;73.32;76.2;11,473,360
SELG;D;230920;000000;75.74;78.9;71.15;75.45;11,594,440
SELG;D;230921;000000;74.37;78;73.75;77.46;8,821,440
SELG;D;230922;000000;77.46;79.38;76.07;78.95;6,795,170
SELG;D;230925;000000;79;79.72;76.61;78.42;4,071,320
SELG;D;230926;000000;78.33;78.45;77.25;78.05;2,058,370
SELG;D;230927;000000;78.3;79.3;76.9;77.99;2,529,960
SELG;D;230928;000000;78.22;78.89;77.8;78.2;2,162,710
SELG;D;230929;000000;78.51;81.5;77.5;79.44;11,654,190
SELG;D;231002;000000;79.86;82.4;79.83;80.78;10,648,610
SELG;D;231003;000000;80.5;80.74;78.2;79.15;5,054,910
SELG;D;231004;000000;79.25;80.5;78.6;79.28;3,088,440
SELG;D;231005;000000;79.43;80.11;78.8;79.59;2,067,020
SELG;D;231006;000000;79.7;80.72;78.95;79.25;4,230,350
SELG;D;231009;000000;79.52;80.38;79.4;80.1;2,602,270
SELG;D;231010;000000;80.08;80.84;79.7;80.27;2,067,280
SELG;D;231011;000000;80.39;82.97;77.11;78;9,467,560
SELG;D;231012;000000;77.5;80.91;77.31;79.64;5,129,420
