<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
PLZL;D;230815;000000;11472;11653;11308;11521.5;107147
PLZL;D;230816;000000;11529;11600;11150;11268.5;131234
PLZL;D;230817;000000;11318;11382;11156;11317;96906
PLZL;D;230818;000000;11334;11620;11251;11588;134501
PLZL;D;230821;000000;11605;11690.5;11402.5;11491.5;115262
PLZL;D;230822;000000;11496;11509.5;11382.5;11420;63345
PLZL;D;230823;000000;11435;11584.5;11313.5;11404.5;137473
PLZL;D;230824;000000;11448.5;11510;11357.5;11468;58232
PLZL;D;230825;000000;11435;11487;11404.5;11455;42770
PLZL;D;230828;000000;11471;11800;11470;11748;161336
PLZL;D;230829;000000;11784;11845;11555;11674;251548
PLZL;D;230830;000000;11700;11719.5;11581;11670.5;63457
PLZL;D;230831;000000;11675;11750;11632;11671;48843
PLZL;D;230901;000000;11676;11991;11648;11824;160309
PLZL;D;230904;000000;11897.5;12142.5;11861;12073;150744
PLZL;D;230905;000000;12085;12150;11953;12037;141833
PLZL;D;230906;000000;12034;12034;11831;11857;89196
PLZL;D;230907;000000;11840;11890.5;11515.5;11653.5;145357
PLZL;D;230908;000000;11653;11716;11277.5;11389;120556
PLZL;D;230911;000000;11388;11620;11325;11395.5;111509
PLZL;D;230912;000000;11409.5;11530.5;11336.5;11471;96745
PLZL;D;230913;000000;11485.5;11583;11439;11488.5;59013
PLZL;D;230914;000000;11487;11500;11201;11456.5;99586
PLZL;D;230915;000000;11455;11658.5;11420;11593.5;78964
PLZL;D;230918;000000;11645;11690;11476;11642;65958
PLZL;D;230919;000000;11631.5;11675.5;11277.5;11352;107047
PLZL;D;230920;000000;11355.5;11471;11125.5;11418.5;102483
PLZL;D;230921;000000;11405.5;11460;11149;11161;113752
PLZL;D;230922;000000;11199.5;11239;10838;11159;129599
PLZL;D;230925;000000;11219;11235;11000;11032;59793
PLZL;D;230926;000000;11022.5;11197.5;10879.5;11094;89325
PLZL;D;230927;000000;11100;11350;11100;11223;57690
PLZL;D;230928;000000;11207.5;11322;11142;11237;42669
PLZL;D;230929;000000;11253;11600;11235.5;11418;130157
PLZL;D;231002;000000;11460.5;11468;11177;11181;112066
PLZL;D;231003;000000;11166;11433;11101.5;11396;94184
PLZL;D;231004;000000;11380;11463;11340;11370;48549
PLZL;D;231005;000000;11381;11420;11300;11362.5;46026
PLZL;D;231006;000000;11374;11550;11362.5;11486.5;50158
PLZL;D;231009;000000;11532;11698;11532;11627;72435
PLZL;D;231010;000000;11619.5;11677;11475;11569.5;67354
PLZL;D;231011;000000;11585;11779.5;11401;11457;93057
PLZL;D;231012;000000;11450;11600;11425;11513.5;53121
PLZL;D;231013;000000;11545;11750;11506;11686;86618
PLZL;D;231016;000000;11724;11796;11654;11715.5;64001
PLZL;D;231017;000000;11716;11900;11680;11849.5;95365
PLZL;D;231018;000000;11850;11987.5;11818;11928.5;80283
PLZL;D;231019;000000;11925;11999;11750;11887.5;102789
PLZL;D;231020;000000;11900;11909;11775;11829;78632
PLZL;D;231023;000000;11850;11879;11751.5;11797;46525
PLZL;D;231024;000000;11801;11802;11630;11759;65048
